Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Rượu Black Nikka Clear,Sản phẩm thường,Rượu - Thuốc lá,4904230027621,4904230027621,Có,225000,250000,245000,400000,250000,260000,chai (12),225000,7,225000,11,225000,3,225000,0,225000,0
Rượu Black Nikka Rich Blend,Sản phẩm thường,Rượu - Thuốc lá,4904230033240,4904230033240,Có,335000,370000,360000,500000,370000,380000,chai(12),335000,7,335000,8,335000,9,335000,0,335000,0
Rượu Nikka 12 năm ,Sản phẩm thường,Rượu - Thuốc lá,4904230039341,4904230039341,Có,1700,1850,1850,2100,1850,1850,Chai,1700,0,1700,0,1700,0,1700,0,1700,0
1160-Rượu Black Nikka Deep Blend 700ml,Sản phẩm thường,Rượu - Thuốc lá,4904230041160,4904230041160,Có,380000,410000,400000,580000,410000,420000,Chai(12),380000,17,380000,11,380000,5,380000,0,380000,0
Rượu Nikka Black Rich Blend Hồng ,Sản phẩm thường,Rượu - Thuốc lá,4904230060154,4904230060154,Có,520000,580000,570000,800000,580000,590000,Chai,520000,0,520000,0,520000,0,520000,0,520000,0
Rượu Black Nikka ( đen),Sản phẩm thường,Rượu - Thuốc lá,4904230100409,4904230100409,Có,320000,340000,330000,500000,340000,350000,chai (12),320000,3,320000,3,320000,0,320000,0,320000,0
0953-Rượu Nikka người lính,Sản phẩm thường,Rượu - Thuốc lá,4904230300953,4904230300953,Có,1500,1600,1550,1800,1600,1600,Chai,1500,0,1500,0,1500,0,1500,0,1500,0
3660-Rượu sake vảy vàng Takara Shozu 1.8 lít chai trắng,Sản phẩm thường,Rượu - Thuốc lá,4904670213660,4904670213660,Có,720000,760000,750000,1050,760000,770000,chai (6),720000,8,720000,5,720000,3,720000,0,720000,0
"Rượu Sake Takara Shozu mặt trời 1,8L",Sản phẩm thường,Rượu - Thuốc lá,4904670246934,4904670246934,Có,480000,520000,510000,800000,520000,530000,Chai (6),480000,6,480000,5,480000,7,480000,0,480000,0
Rượu mơ Choya 720ml,Sản phẩm thường,Rượu - Thuốc lá,4905846111261,4905846111261,Có,260000,270000,265000,400000,270000,275000,Chai(12),260000,6,260000,7,260000,2,260000,0,260000,0
1568-Rượu mơ Choya Ume Excellent 750ml,Sản phẩm thường,Rượu - Thuốc lá,4905846111568,4905846111568,Có,260000,310000,300000,450000,310000,315000,chai,260000,0,260000,0,260000,0,260000,0,260000,0
7201-Rượu mơ The Choya Black,Sản phẩm thường,Rượu - Thuốc lá,4905846117201,4905846117201,Có,260000,275000,270000,450000,275000,280000,chai,260000,0,260000,1,260000,0,260000,0,260000,0
7287-Rượu mơ Choya Gold Edition 500ml,Sản phẩm thường,Rượu - Thuốc lá,4905846117287,4905846117287,Có,1400,,,2000,,,chai,1400,1,1400,0,1400,0,1400,0,1400,0
7317-Rượu mơ Choya 10 độ 500ml,Sản phẩm thường,Rượu - Thuốc lá,4905846117317,4905846117317,Có,260000,275000,270000,400000,275000,280000,chai,260000,5,260000,0,260000,0,260000,0,260000,0
Rượu mơ The Choya Single Year 720ml,Sản phẩm thường,Rượu - Thuốc lá,4905846117478,4905846117478,Có,245000,265000,260000,450000,265000,270000,Chai(6),245000,5,245000,0,245000,0,245000,0,245000,0
Rượu mơ The Choya Aged 3 Year 720ml,Sản phẩm thường,Rượu - Thuốc lá,4905846117485,4905846117485,Có,620000,700000,680000,900000,700000,720000,Chai,620000,0,620000,0,620000,0,620000,0,620000,0
