Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
5190-Kẹo que Fujiya lẻ,Sản phẩm thường,Bánh kẹo,49755190,49755190,Có,7000,6800,6500,8000,6800,7000,Cây,7000,578,7000,59,7000,117,7000,0,7000,0
0602-Bánh quy Mire Nomura 130g,Sản phẩm thường,Bánh kẹo,4975658000602,4975658000602,Có,36000,43000,42000,20000,43000,45000,gói(20),36000,0,36000,2,36000,0,36000,0,36000,0
Bánh rán vị đậu đỏ Dorayaki 5 miếng TBD,Sản phẩm thường,Bánh kẹo,4976762550014,4976762550014,Có,83000,90000,88000,120000,90000,92000,Gói(12),83000,1,83000,0,83000,0,83000,0,83000,0
Bánh rán vị hạt dẻ Dorayaki 5 Miếng TBD,Sản phẩm thường,Bánh kẹo,4976762550021,4976762550021,Có,83000,90000,88000,120000,90000,92000,Gói(12),83000,0,83000,0,83000,0,83000,0,83000,0
0076-Bánh rán vị trà xanh Dorayaki 5 miếng TBD,Sản phẩm thường,Bánh kẹo,4976762550076,4976762550076,Có,83000,90000,88000,120000,90000,92000,Gói(12),83000,0,83000,0,83000,0,83000,0,83000,0
Singum Xylish Hyper Cool Meiji ,Sản phẩm thường,Bánh kẹo,49770384,49770384,Có,20000,25000,25000,30000,25000,27000,Cây (15x20),20000,0,20000,0,20000,0,20000,0,20000,0
1251-Thanh kẹo gum Meiji Xylish Aqua Cool,Sản phẩm thường,Bánh kẹo,49771251,49771251,Có,20000,23000,22000,35000,23000,24000,thanh(15x20),20000,325,20000,33,20000,29,20000,0,20000,0
1916-Thanh kẹo gum Meiji Xylish Lime Cool,Sản phẩm thường,Bánh kẹo,49771916,49771916,Có,20000,23000,22000,20000,23000,24000,thanh(15x20),20000,299,20000,41,20000,8,20000,0,20000,0
Singum Xylish Frust assort  Meiji ,Sản phẩm thường,Bánh kẹo,49772975,49772975,Có,20000,25000,25000,30000,25000,25000,Cây (15x20),20000,0,20000,0,20000,0,20000,0,20000,0
Popin cooking máy moko làm soda,Sản phẩm thường,Bánh kẹo,4977629243810,4977629243810,Có,65000,75000,75000,110000,75000,80000,Hộp,65000,0,65000,0,65000,0,65000,0,65000,0
