Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Sữa tắm dưỡng da chanh ( xanh),Sản phẩm thường,Hóa Mỹ Phẩm,4901080541512,4901080541512,Có,95000,110000,110000,120000,110000,110000,chai,95000,0,95000,0,95000,0,95000,0,95000,0
Sữa tắm dưỡng da mật ong ( Vàng),Sản phẩm thường,Hóa Mỹ Phẩm,4901080542014,4901080542014,Có,95000,110000,110000,120000,110000,110000,chai,95000,0,95000,0,95000,0,95000,0,95000,0
Sữa tắm dưỡng da hoa hồng ( tím),Sản phẩm thường,Hóa Mỹ Phẩm,4901080542113,4901080542113,Có,95000,110000,110000,120000,110000,110000,chai,95000,0,95000,0,95000,0,95000,0,95000,0
6316-Xịt Kháng Khuẩn Cho Bé 75ml,Sản phẩm thường,Hóa Mỹ Phẩm,4901080576316,4901080576316,Có,250000,280000,270000,350000,280000,290000,Chai ,250000,0,250000,0,250000,0,250000,0,250000,0
Kem đánh răng tím,Sản phẩm thường,Hóa Mỹ Phẩm,4901080723819,4901080723819,Có,140000,155000,155000,200000,155000,160000,Tuýp,140000,0,140000,0,140000,0,140000,0,140000,0
Kem dánh răng Aquafresh,Sản phẩm thường,Hóa Mỹ Phẩm,4901080763914,4901080763914,Có,50000,55000,55000,70000,55000,165000,tuýp,50000,0,50000,0,50000,0,50000,0,50000,0
4010-KĐR Aquafresh xanh lá trà xanh 140g,Sản phẩm thường,Hóa Mỹ Phẩm,4901080764010,4901080764010,Có,41000,44000,43000,60000,44000,45000,Tuýp(48),41000,0,41000,0,41000,1,41000,0,41000,0
4119-KĐR Aquafresh xanh dương bạc hà 140g,Sản phẩm thường,Hóa Mỹ Phẩm,4901080764119,4901080764119,Có,41000,44000,43000,60000,44000,45000,Tuýp(48),41000,1,41000,1,41000,0,41000,0,41000,0
4416-KĐR Aquafresh trà xanh xanh lá +20g,Sản phẩm thường,Hóa Mỹ Phẩm,4901080764416,4901080764416,Có,41000,45000,43000,65000,45000,46000,Tuýp(48),41000,0,41000,0,41000,1,41000,0,41000,0
4515-KĐR Aquafresh bạc hà xanh dương +20g,Sản phẩm thường,Hóa Mỹ Phẩm,4901080764515,4901080764515,Có,41000,45000,43000,65000,45000,46000,Tuýp (48),41000,0,41000,0,41000,0,41000,0,41000,0
