Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Áo lót nam cổ tròn 100% cotton kháng khuẩn size LL set 2,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4582370513664,4582370513664,Có,122850,145000,140000,200000,145000,145000,Set,122850,5,122850,10,122850,7,122850,0,122850,0
Áo lót nam cổ tim 100% cotton kháng khuẩn size M set 2,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4582370513701,4582370513701,Có,122850,145000,140000,200000,145000,145000,Cái,122850,5,122850,4,122850,4,122850,0,122850,0
Áo lót nam cổ tim 100% cotton kháng khuẩn size L set 2,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4582370513718,4582370513718,Có,122850,145000,140000,200000,145000,145000,Cái,122850,4,122850,9,122850,5,122850,0,122850,0
Áo lót nam cổ tim 100% cotton kháng khuẩn size LL set 2,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4582370513725,4582370513725,Có,122850,145000,140000,200000,145000,145000,Cái,122850,5,122850,10,122850,3,122850,0,122850,0
Quần thể thao nam (3780),Sản phẩm thường,"Quần áo - Khăn, tất, thảm",458870362,458870362,Có,450000,550000,550000,700000,550000,580000,Cái,450000,0,450000,0,450000,0,450000,0,450000,0
Đầm Uniqlo ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4900001,4900001,Có,230000,245000,245000,450000,245000,250000,Cái,230000,0,230000,0,230000,0,230000,0,230000,0
Vớ da chân ATSUGI ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",49010,49010,Có,80000,90000,90000,120000,90000,95000,Cái,80000,0,80000,0,80000,0,80000,0,80000,0
5396-Khăn tắm 28x100cm ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4901065195396,4901065195396,Có,60000,70000,70000,80000,70000,75000,Cái,60000,2,60000,0,60000,0,60000,0,60000,0
Khăn tắm cao cấp màu xanh,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4901065613937,4901065613937,Có,74750,89000,89000,110000,89000,94000,Cái,74750,6,74750,6,74750,3,74750,0,74750,0
Khăn tắm cao cấp màu hồng,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4901065613951,4901065613951,Có,74750,89000,89000,110000,89000,94000,Cái,74750,13,74750,3,74750,2,74750,0,74750,0
