Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Sốt Salad mè vị cay 1100g,Sản phẩm thường,Ăn Uống,4902504401344,4902504401344,Có,203000,215000,210000,270000,215000,220000,Chai,203000,12,203000,8,203000,6,203000,0,203000,0
Súp Udon Bell Foods 400ml,Sản phẩm thường,Ăn Uống,4902504700157,4902504700157,Có,90000,96000,95000,125000,96000,97000,Chai (12),90000,13,90000,4,90000,4,90000,0,90000,0
Nước điện giải Pigeon ,Sản phẩm thường,Ăn Uống,4902508135122,4902508135122,Có,45000,50000,50000,60000,50000,50000,Block ( 16),45000,0,45000,0,45000,0,45000,0,45000,0
Cá thu hầm rau củ,Sản phẩm thường,Ăn Uống,4902511009755,4902511009755,Có,18000,22000,22000,30000,22000,40000,hộp (24),18000,0,18000,0,18000,0,18000,0,18000,0
Thịt heo tương đậu,Sản phẩm thường,Ăn Uống,4902511009762,4902511009762,Có,18000,22000,22000,30000,22000,25000,hộp (24),18000,0,18000,0,18000,0,18000,0,18000,0
9854-Cá ngừ ngâm dầu Hotei 70g,Sản phẩm thường,Ăn Uống,4902511009854,4902511009854,Có,36000,45000,41000,65000,45000,47000,Hộp(24),36000,0,36000,0,36000,0,36000,0,36000,0
Cá ngừ sake,Sản phẩm thường,Ăn Uống,4902511011161,4902511011161,Có,35000,38000,38000,50000,38000,42000,hộp (24),35000,0,35000,0,35000,0,35000,0,35000,0
Rượu nấu ăn ,Sản phẩm thường,Ăn Uống,4902531020105,4902531020105,Có,50000,60000,60000,80000,60000,60000,Chai ( 12),50000,0,50000,0,50000,0,50000,0,50000,0
Chocola 4 vị trái cây Ala mode Fujya ,Sản phẩm thường,Ăn Uống,4902555161280,4902555161280,Có,45000,,,30000,,,Hộp,45000,0,45000,2,45000,0,45000,0,45000,0
Nước ép đào Nectar 380ml,Sản phẩm thường,Ăn Uống,4902555208145,4902555208145,Có,27000,30000,30000,40000,30000,31000,Chai (24),27000,0,27000,0,27000,0,27000,0,27000,0
1946-Cá ngừ đóng hộp Hagoromo 75g,Sản phẩm thường,Ăn Uống,4902560001946,4902560001946,Có,44000,50000,50000,65000,50000,52000,hộp,44000,0,44000,0,44000,0,44000,0,44000,0
3657-Rắc cơm cá ngừ 28g,Sản phẩm thường,Ăn Uống,4902560413657,4902560413657,Có,26000,30000,29000,40000,30000,31000,Gói,26000,0,26000,0,26000,0,26000,0,26000,0
3688-Rắc cơm Wassabi mè,Sản phẩm thường,Ăn Uống,4902560413688,4902560413688,Có,26000,30000,28000,40000,30000,32000,Gói,26000,0,26000,0,26000,0,26000,0,26000,0
3695-Rắc cơm cá hồi Hagoromo 30g,Sản phẩm thường,Ăn Uống,4902560413695,4902560413695,Có,26000,30000,29000,40000,30000,31000,Gói,26000,0,26000,0,26000,0,26000,0,26000,0
9500-Muối ớt xanh Yuzu Koshou,Sản phẩm thường,Ăn Uống,4902581019500,4902581019500,Có,122000,135000,135000,150000,135000,132000,Lọ,122000,0,122000,0,122000,0,122000,0,122000,0
5766-Dầu mè Ajinomoto 70g bổ sung Vitamin E,Sản phẩm thường,Ăn Uống,4902590125766,4902590125766,Có,35000,40000,40000,60000,40000,42000,chai (15),35000,0,35000,0,35000,0,35000,0,35000,0
Dầu mè Ajinomoto bổ sung Vitamin E 160g,Sản phẩm thường,Ăn Uống,4902590128842,4902590128842,Có,50000,78000,78000,100000,78000,80000,Chai(12),50000,0,50000,0,50000,0,50000,0,50000,0
Dầu mè Ajinomoto 160g,Sản phẩm thường,Ăn Uống,4902590128873,4902590128873,Có,62000,70000,68000,110000,70000,75000,Chai (12),62000,0,62000,0,62000,0,62000,0,62000,0
Dầu Gạo Ajinomoto 600g,Sản phẩm thường,Ăn Uống,4902590130548,4902590130548,Có,105000,115000,110000,150000,115000,120000,chai (10),105000,0,105000,0,105000,0,105000,0,105000,0
2181-Dầu ăn hoa cải Ajinomoto 1 lít,Sản phẩm thường,Ăn Uống,4902590852181,4902590852181,Có,55000,62000,60000,90000,62000,65000,Chai(10),55000,65,55000,15,55000,17,55000,0,55000,0
Dầu đậu nành Ajinomoto 600g,Sản phẩm thường,Ăn Uống,4902590852358,4902590852358,Có,105000,115000,115000,155000,115000,120000,chai( 10),105000,0,105000,0,105000,0,105000,0,105000,0
Dầu Oliu 200g,Sản phẩm thường,Ăn Uống,4902590852518,4902590852518,Có,67000,78000,78000,90000,78000,75000,chai,67000,0,67000,0,67000,0,67000,0,67000,0
2532-Dầu Olive 400g Ajinomoto ,Sản phẩm thường,Ăn Uống,4902590852532,4902590852532,Có,120000,125000,125000,170000,125000,130000,Chai,120000,0,120000,0,120000,0,120000,0,120000,0
