Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
8012-Khóa môi cô gái Kose,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710488012,4971710488012,Có,130000,140000,140000,200000,140000,145000,Tuýp,130000,0,130000,0,130000,0,130000,0,130000,0
SRM Kose trị mụn 190g,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710799705,4971710799705,Có,70000,73000,72000,130000,73000,75000,tuýp (48),70000,10,70000,17,70000,6,70000,0,70000,0
9712-Sữa rửa mặt kose softymo 210g,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710799712,4971710799712,Có,85000,90000,90000,130000,90000,90000,Chai,85000,0,85000,0,85000,0,85000,0,85000,0
7849-Lăn nách đá khoáng Soft Stone,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971825007849,4971825007849,Có,150000,165000,160000,250000,165000,170000,Chai ,150000,0,150000,0,150000,0,150000,0,150000,0
Lăn nách đá khoáng bạc hà Soft Stone,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971825011723,4971825011723,Có,150000,160000,155000,250000,160000,165000,Chai,150000,0,150000,0,150000,0,150000,0,150000,0
Lăn nách đá khoáng cho Nam  Soft Stone,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971825011747,4971825011747,Có,170000,175000,175000,250000,175000,180000,Chai,170000,0,170000,0,170000,0,170000,0,170000,0
Lăn nách đá khoáng xanh ngọc Soft Stone ,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971825013963,4971825013963,Có,150000,160000,155000,250000,160000,165000,Chai,150000,0,150000,0,150000,0,150000,0,150000,0
6575-Kem trị hôi chân Deonatulle 30g,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971825016575,4971825016575,Có,140000,165000,160000,250000,165000,170000,Tuýp,140000,5,140000,0,140000,4,140000,0,140000,0
6582-Lăn nách đá khoáng Soft Stone trắng,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971825016582,4971825016582,Có,178000,185000,182000,250000,185000,187000,Cái,178000,11,178000,5,178000,11,178000,0,178000,0
Line Dolly Wink,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4972915031447,4972915031447,Có,135000,180000,180000,250000,180000,175000,cây,135000,0,135000,0,135000,0,135000,0,135000,0
