Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Bàn ủi hơi nước TfaL,Sản phẩm thường,Hàng gia dụng nhóm 1,3121040055984,3121040055984,Có,4300,4800,4800,5500,4800,4600,cái,4300,0,4300,0,4300,0,4300,0,4300,0
Bàn ủi T-Fal màu đỏ,Sản phẩm thường,Hàng gia dụng nhóm 1,3121040066072,3121040066072,Có,1600,1750,1700,2500,1750,1780,Cái,1600,0,1600,0,1600,1,1600,0,1600,0
Bàn ủi T-Fal màu xanh,Sản phẩm thường,Hàng gia dụng nhóm 1,3121040066102,3121040066102,Có,1600,1750,1700,2500,1750,1780,Cái,1600,1,1600,0,1600,0,1600,0,1600,0
Bộ nồi Tfal Set 4 (H),Sản phẩm thường,Hàng gia dụng nhóm 1,3168430092846,3168430092846,Có,1200,1250,1250,1300,1250,1250,Bộ ,1200,0,1200,0,1200,0,1200,0,1200,0
Bộ nồi Tfal nấu bếp từ,Sản phẩm thường,Hàng gia dụng nhóm 1,3168430180123,3168430180123,Có,3200,3400,3400,3650,3400,3400,set,3200,0,3200,0,3200,0,3200,0,3200,0
Chảo Tfal IH 28cm (E41519),Sản phẩm thường,Hàng gia dụng nhóm 1,3168430192720,3168430192720,Có,1200,1250,1250,1450,1250,1300,cái,1200,0,1200,0,1200,0,1200,0,1200,0
Nồi kho cá Tfal IH,Sản phẩm thường,Hàng gia dụng nhóm 1,3168430194519,3168430194519,Có,1400,1550,1550,1800,1550,1570,Cái,1400,0,1400,0,1400,0,1400,0,1400,0
Bộ nồi 2 đáy T-Fal IH 22cm-24cm (set 2),Sản phẩm thường,Hàng gia dụng nhóm 1,3168430218307,3168430218307,Có,2300,2480,2450,2800,2480,2500,Set,2300,2,2300,0,2300,0,2300,0,2300,0
Chảo T-Fan Comfort Max 20cm,Sản phẩm thường,Hàng gia dụng nhóm 1,3168430223226,3168430223226,Có,720000,770000,760000,950000,770000,780000,Cái,720000,0,720000,0,720000,0,720000,0,720000,0
Chảo T-Fan Comfort Max 24cm,Sản phẩm thường,Hàng gia dụng nhóm 1,3168430223233,3168430223233,Có,850000,900000,890000,1100,900000,920000,Cái,850000,2,850000,0,850000,3,850000,0,850000,0
Chảo Tfal 28cm (ko nấu dc bếp từ),Sản phẩm thường,Hàng gia dụng nhóm 1,3168430226654,3168430226654,Có,820000,880000,880000,1100,880000,900000,Cái,820000,0,820000,0,820000,0,820000,0,820000,0
Chảo Tfal (đen) 21cm,Sản phẩm thường,Hàng gia dụng nhóm 1,3168430231221,3168430231221,Có,900000,950000,950000,1200,950000,980000,Cái,900000,5,900000,2,900000,3,900000,0,900000,0
Chảo Tfal 28cm,Sản phẩm thường,Hàng gia dụng nhóm 1,3168430231245,3168430231245,Có,1150,1350,1350,1450,1350,1450,cái,1150,0,1150,0,1150,0,1150,0,1150,0
Chảo T-fal 22cm,Sản phẩm thường,Hàng gia dụng nhóm 1,3168430231252,3168430231252,Có,1200,1260,1250,1450,1260,1270,cái,1200,0,1200,0,1200,0,1200,0,1200,0
