Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Trứng cua đỏ Tobiko,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00011,00011,Có,950000,1050,1050,1300,1050,1070,kg,950000,0,950000,0,950000,0,950000,0,950000,0
Nho xanh không hạt Brass Sweet Mỹ,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00012,00012,Có,226666,205000,195000,270000,205000,210000,Kg,226666,5,226666,6,226666,1,226666,0,226666,0
Táo Envy size 24,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00013,00013,Có,165000,190000,185000,230000,190000,195000,kg,165000,1,165000,2,165000,0,165000,0,165000,0
Thịt cá hồi,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00014,00014,Có,300000,410000,400000,500000,410000,420000,Kg,300000,2,300000,0,300000,1,300000,0,300000,0
Táo Envy size 30,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00015,00015,Có,184000,215000,210000,250000,215000,220000,Kg(9),184000,0,184000,0,184000,0,184000,0,184000,0
Rong biển trộn mè ,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00016,00016,Có,445000,500000,500000,600000,500000,510000,Kg,445000,1,445000,0,445000,4,445000,0,445000,0
Lươn Nhật nướng (bỏ mã này),Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00017,00017,Có,1050,1200,1150,1400,1200,1230,kg,1050,0,1050,0,1050,0,1050,0,1050,0
Trứng cá hồi Salmon Roe ,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00018,00018,Có,2400,2550,2550,3000,2550,2600,kg,2400,0,2400,0,2400,0,2400,0,2400,0
Sò điệp Nhật 4-6 con /1kg,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00019,00019,Có,240000,195000,195000,360000,195000,200000,kg,240000,0,240000,0,240000,0,240000,0,240000,0
Nho xanh Úc,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00020,00020,Có,230000,600000,600000,200000,600000,650000,Kg,230000,0,230000,0,230000,0,230000,0,230000,0
Cá bào Hanakatsuo/ishito,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00021,00021,Có,790000,830000,830000,1100,830000,850000,kg,790000,0,790000,0,790000,0,790000,0,790000,0
Lê Hàn Quốc size 27,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00022,00022,Có,86000,105000,100000,140000,105000,110000,Kg(15),86000,0,86000,0,86000,0,86000,0,86000,0
Sò đỏ Hoki Gai Sashimi,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00023,00023,Có,870000,205000,205000,1000,205000,210000,kg,870000,0,870000,0,870000,0,870000,0,870000,0
Mận Khủng Long Úc,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00024,00024,Có,260000,5250,5250,350000,5250,5350,kg,260000,0,260000,0,260000,0,260000,0,260000,0
Thịt bò WAGYU - A4 bittet,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00027,00027,Có,4290,5250,5250,6000,5250,5350,kg,4290,0,4290,0,4290,0,4290,0,4290,0
Thịt bò WAGYU - A5 lát nướng,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00028,00028,Có,4000,5100,5100,5200,5100,5250,kg,4000,0,4000,0,4000,0,4000,0,4000,0
Thịt bò WAGYU - A3 bittet,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00029,00029,Có,4160,5100,5100,5900,5100,5250,kg,4160,0,4160,0,4160,0,4160,0,4160,0
Hồng Giòn Hàn Quốc,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00030,00030,Có,160000,,,250000,,,Kg (10),160000,0,160000,0,160000,0,160000,0,160000,0
Hồng Giòn Nhật ,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00031,00031,Có,140000,355000,,180000,355000,360000,TRái ,140000,0,140000,0,140000,0,140000,0,140000,0
Trứng cá hồi Ikura Zamaryu,Sản phẩm thường,Thực phẩm (Tươi sống + đông lạnh),00032,00032,Có,2100,2400,2400,3000,2400,2450,kg,2100,4,2100,0,2100,0,2100,0,2100,0
